CASM-OC Iowa    oxbow:  2010.000
fktrN  1.0000                                                                                   
fktrP  1.0000                                                                                         
fktrS  1.0000                                                                                         
                   Te      Th      I0         N       P       Si      depth   velocit TIS     POCe    wind    salinity
             DOY   C       C       eins/m2    mg/L    mg/L    mg/L    m       m/s     mg/L    mg/L    m/s     psu
--------------------------------------------------------------------------------------------------------------------
               1   0.200   0.200  39.656      1.412   3.777   5.990   1.200   0.011  20.000   0.334   4.460   0.000
               2   0.100   0.100  40.634      1.408   3.745   8.440   1.200   0.014  16.000   0.134   5.530   0.000
               3   0.150   0.150  45.037      1.404   3.714   9.037   1.200   0.010  13.000   0.392   3.980   0.000
               4   0.300   0.300  46.586      1.400   3.683   8.545   1.200   0.014  15.000   0.850   5.450   0.000
               5   0.300   0.300  49.439      1.396   3.652   8.900   1.200   0.023  17.000   0.203   9.210   0.000
               6   0.300   0.300  34.780      1.392   3.621   8.993   1.200   0.018  16.000   0.107   7.250   0.000
               7   0.600   0.600  39.167      1.389   3.590   9.100   1.200   0.013  19.000   0.058   5.310   0.000
               8   0.500   0.500  39.737      1.385   3.559   9.553   1.200   0.005  17.000   0.508   1.800   0.000
               9   0.300   0.300  48.216      1.381   3.529  10.137   1.200   0.013  28.000   0.159   5.280   0.000
              10   0.000   0.000  41.776      1.378   3.498   8.983   1.200   0.021  29.000   2.563   8.480   0.000
              11   0.100   0.100  48.950      1.374   3.468   9.307   1.200   0.020  19.000   0.638   8.150   0.000
              12   0.200   0.200  40.308      1.370   3.438   9.465   1.200   0.015  29.000   0.233   5.860   0.000
              13   0.300   0.300  47.809      1.366   3.408  10.080   1.200   0.010  15.000   0.081   4.040   0.000
              14   0.100   0.100  41.857      1.363   3.378   9.293   1.200   0.009  13.000   0.095   3.450   0.000
              15   0.150   0.150  34.992      1.359   3.348   9.053   1.200   0.012  10.000   0.122   4.630   0.000
              16   0.100   0.100  46.341      1.356   3.319   9.035   1.200   0.024  12.000   0.091   9.550   0.000
              17   0.000   0.000  34.446      1.352   3.289   9.035   1.200   0.019  11.000   0.112   7.700   0.000
              18   0.000   0.000  34.275      1.348   3.260   8.800   1.200   0.016  19.000   0.100   6.400   0.000
              19   0.050   0.050  34.487      1.345   3.231   9.035   1.200   0.009  18.000   0.078   3.500   0.000
              20   0.000   0.000  35.261      1.341   3.202   9.170   1.200   0.014   9.000   0.078   5.640   0.000
              21   0.000   0.000  34.601      1.338   3.173   9.370   1.200   0.011  12.000   0.076   4.330   0.000
              22   0.050   0.050  35.025      1.334   3.144   6.730   1.200   0.024  17.000   0.052   9.450   0.000
              23   0.050   0.050  34.576      1.331   3.116   6.925   1.200   0.012  20.000   0.613   4.780   0.000
              24   0.000   0.000  41.368      1.327   3.087   6.572   1.200   0.009  18.000   0.203   3.750   0.000
              25   0.000   0.000  36.346      1.324   3.059   7.115   1.200   0.020  23.000   0.104   7.980   0.000
              26   0.000   0.000  50.989      1.320   3.031   7.240   1.200   0.010  16.000   0.371   4.070   0.000
              27   0.000   0.000  38.351      1.317   3.002   7.403   1.200   0.010  16.000   3.358   4.100   0.000
              28   0.000   0.000  39.248      1.313   2.975   8.493   1.200   0.015  17.000   0.252   6.190   0.000
              29   0.100   0.100  45.934      1.310   2.947   8.158   1.200   0.006  20.000   0.100   2.330   0.000
              30   0.100   0.100  49.195      1.306   2.919   8.468   1.200   0.007  58.000   0.264   2.970   0.000
              31   0.200   0.200  45.607      1.303   2.891   8.593   1.200   0.015  24.000   0.093   5.800   0.000
              32   0.250   0.250  37.756      1.300   2.864  11.393   1.200   0.011  85.000   0.049   4.460   0.000
