.\Solatenol_exp_ESLS1986_0VFS.dat			
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
   1   0.964    0.06    0.05
   2   0.964    0.09    0.08
   3   0.964    0.06    0.09
   4   0.964    0.04    0.04
   5   0.964    0.05    0.04
   6   0.964    0.02    0.03
   7   0.964    0.03    0.05
   8   0.964    0.01    0.07
   9   0.964    0.03    0.06
  10   0.963    0.03    0.04
  11   0.963    0.03    0.08
  12   0.963    0.05    0.04
  13   0.963    0.06    0.04
  14   0.963    0.05    0.06
  15   0.963    0.07    0.05
  16   0.978    0.05    0.02
  17   1.040    0.05    0.09
  18   1.040    0.03    0.04
  19   1.020    0.01    0.04
  20   1.000    0.04    0.03
  21   0.992    0.06    0.02
  22   0.984    0.11    0.05
  23   0.979    0.08    0.05
  24   0.975    0.05    0.05
  25   0.973    0.04    0.04
  26   0.971    0.06    0.04
  27   0.970    0.03    0.05
  28   0.969    0.03    0.06
  29   0.968    0.06    0.04
  30   0.967    0.01    0.05
  31   0.967    0.06    0.04
  32   0.967    0.07    0.04
  33   0.966    0.08    0.03
  34   0.971    0.03    0.05
  35   1.010    0.03    0.03
  36   1.000    0.02    0.05
  37   0.991    0.03    0.06
  38   0.984    0.03    0.05
  39   0.979    0.10    0.04
  40   0.975    0.05    0.07
  41   0.973    0.05    0.05
  42   0.971    0.12    0.05
  43   0.970    0.02    0.08
  44   0.969    0.05    0.03
  45   0.968    0.03    0.05
  46   0.968    0.10    0.05
  47   0.968    0.09    0.05
  48   0.967    0.06    0.06
  49   0.967    0.02    0.05
  50   0.968    0.05    0.07
  51   0.967    0.04    0.05
  52   0.967    0.03    0.08
  53   0.967    0.09    0.03
  54   0.967    0.04    0.05
  55   0.966    0.04    0.04
  56   0.966    0.05    0.05
  57   0.966    0.02    0.04
  58   0.966    0.07    0.05
  59   0.966    0.06    0.06
  60   0.966    0.06    0.04
  61   0.966    0.02    0.04
  62   0.966    0.02    0.06
  63   0.966    0.05    0.07
  64   0.965    0.02    0.02
  65   0.965    0.04    0.03
  66   0.965    0.05    0.04
  67   0.965    0.03    0.05
  68   0.965    0.04    0.04
  69   0.965    0.03    0.04
  70   0.965    0.06    0.06
  71   0.965    0.04    0.05
  72   0.965    0.02    0.07
  73   0.964    0.05    0.04
  74   0.964    0.07    0.04
  75   0.964    0.03    0.04
  76   0.964    0.05    0.05
  77   0.972    0.04    0.04
  78   0.969    0.04    0.03
  79   0.967    0.05    0.06
  80   0.966    0.08    0.06
  81   0.965    0.03    0.05
