.\Solatenol_exp_ESLS1986_0VFS.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
   1   1.446    0.06    0.05
   2   1.446    0.09    0.08
   3   1.446    0.06    0.09
   4   1.446    0.04    0.04
   5   1.446    0.05    0.04
   6   1.446    0.02    0.03
   7   1.446    0.03    0.05
   8   1.446    0.01    0.07
   9   1.446    0.03    0.06
  10   1.445    0.03    0.04
  11   1.445    0.03    0.08
  12   1.445    0.05    0.04
  13   1.445    0.06    0.04
  14   1.445    0.05    0.06
  15   1.445    0.07    0.05
  16   1.467    0.05    0.02
  17   1.560    0.05    0.09
  18   1.560    0.03    0.04
  19   1.530    0.01    0.04
  20   1.500    0.04    0.03
  21   1.488    0.06    0.02
  22   1.476    0.11    0.05
  23   1.469    0.08    0.05
  24   1.463    0.05    0.05
  25   1.460    0.04    0.04
  26   1.457    0.06    0.04
  27   1.455    0.03    0.05
  28   1.454    0.03    0.06
  29   1.452    0.06    0.04
  30   1.451    0.01    0.05
  31   1.451    0.06    0.04
  32   1.451    0.07    0.04
  33   1.449    0.08    0.03
  34   1.457    0.03    0.05
  35   1.515    0.03    0.03
  36   1.500    0.02    0.05
  37   1.487    0.03    0.06
  38   1.476    0.03    0.05
  39   1.469    0.10    0.04
  40   1.463    0.05    0.07
  41   1.460    0.05    0.05
  42   1.457    0.12    0.05
  43   1.455    0.02    0.08
  44   1.454    0.05    0.03
  45   1.452    0.03    0.05
  46   1.452    0.10    0.05
  47   1.452    0.09    0.05
  48   1.451    0.06    0.06
  49   1.451    0.02    0.05
  50   1.452    0.05    0.07
  51   1.451    0.04    0.05
  52   1.451    0.03    0.08
  53   1.451    0.09    0.03
  54   1.451    0.04    0.05
  55   1.449    0.04    0.04
  56   1.449    0.05    0.05
  57   1.449    0.02    0.04
  58   1.449    0.07    0.05
  59   1.449    0.06    0.06
  60   1.449    0.06    0.04
  61   1.449    0.02    0.04
  62   1.449    0.02    0.06
  63   1.449    0.05    0.07
  64   1.448    0.02    0.02
  65   1.448    0.04    0.03
  66   1.448    0.05    0.04
  67   1.448    0.03    0.05
  68   1.448    0.04    0.04
  69   1.448    0.03    0.04
  70   1.448    0.06    0.06
  71   1.448    0.04    0.05
  72   1.448    0.02    0.07
  73   1.446    0.05    0.04
  74   1.446    0.07    0.04
  75   1.446    0.03    0.04
  76   1.446    0.05    0.05
  77   1.458    0.04    0.04
  78   1.454    0.04    0.03
  79   1.451    0.05    0.06
  80   1.449    0.08    0.06
  81   1.448    0.03    0.05
