.\Solatenol_exp_ESLS1986_0VFS.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
   1   9.640    0.06    0.05
   2   9.640    0.09    0.08
   3   9.640    0.06    0.09
   4   9.640    0.04    0.04
   5   9.640    0.05    0.04
   6   9.640    0.02    0.03
   7   9.640    0.03    0.05
   8   9.640    0.01    0.07
   9   9.640    0.03    0.06
  10   9.630    0.03    0.04
  11   9.630    0.03    0.08
  12   9.630    0.05    0.04
  13   9.630    0.06    0.04
  14   9.630    0.05    0.06
  15   9.630    0.07    0.05
  16   9.780    0.05    0.02
  17   10.40    0.05    0.09
  18   10.40    0.03    0.04
  19   10.20    0.01    0.04
  20   10.00    0.04    0.03
  21   9.920    0.06    0.02
  22   9.840    0.11    0.05
  23   9.790    0.08    0.05
  24   9.750    0.05    0.05
  25   9.730    0.04    0.04
  26   9.710    0.06    0.04
  27   9.700    0.03    0.05
  28   9.690    0.03    0.06
  29   9.680    0.06    0.04
  30   9.670    0.01    0.05
  31   9.670    0.06    0.04
  32   9.670    0.07    0.04
  33   9.660    0.08    0.03
  34   9.710    0.03    0.05
  35   10.10    0.03    0.03
  36   10.00    0.02    0.05
  37   9.910    0.03    0.06
  38   9.840    0.03    0.05
  39   9.790    0.10    0.04
  40   9.750    0.05    0.07
  41   9.730    0.05    0.05
  42   9.710    0.12    0.05
  43   9.700    0.02    0.08
  44   9.690    0.05    0.03
  45   9.680    0.03    0.05
  46   9.680    0.10    0.05
  47   9.680    0.09    0.05
  48   9.670    0.06    0.06
  49   9.670    0.02    0.05
  50   9.680    0.05    0.07
  51   9.670    0.04    0.05
  52   9.670    0.03    0.08
  53   9.670    0.09    0.03
  54   9.670    0.04    0.05
  55   9.660    0.04    0.04
  56   9.660    0.05    0.05
  57   9.660    0.02    0.04
  58   9.660    0.07    0.05
  59   9.660    0.06    0.06
  60   9.660    0.06    0.04
  61   9.660    0.02    0.04
  62   9.660    0.02    0.06
  63   9.660    0.05    0.07
  64   9.650    0.02    0.02
  65   9.650    0.04    0.03
  66   9.650    0.05    0.04
  67   9.650    0.03    0.05
  68   9.650    0.04    0.04
  69   9.650    0.03    0.04
  70   9.650    0.06    0.06
  71   9.650    0.04    0.05
  72   9.650    0.02    0.07
  73   9.640    0.05    0.04
  74   9.640    0.07    0.04
  75   9.640    0.03    0.04
  76   9.640    0.05    0.05
  77   9.720    0.04    0.04
  78   9.690    0.04    0.03
  79   9.670    0.05    0.06
  80   9.660    0.08    0.06
  81   9.650    0.03    0.05
