.\TS_CASM_Inp\Solatenol_exp_ESLS1986_15VFS.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
   1   3.040    0.06    0.05
   2   3.040    0.09    0.08
   3   3.040    0.06    0.09
   4   3.040    0.04    0.04
   5   3.040    0.05    0.04
   6   3.040    0.02    0.03
   7   3.030    0.03    0.05
   8   3.030    0.01    0.07
   9   3.030    0.03    0.06
  10   3.030    0.03    0.04
  11   3.030    0.03    0.08
  12   3.030    0.05    0.04
  13   3.030    0.06    0.04
  14   3.030    0.05    0.06
  15   3.030    0.07    0.05
  16   3.030    0.05    0.02
  17   3.030    0.05    0.09
  18   3.030    0.03    0.04
  19   3.030    0.01    0.04
  20   3.030    0.04    0.03
  21   3.030    0.06    0.02
  22   3.030    0.11    0.05
  23   3.030    0.08    0.05
  24   3.030    0.05    0.05
  25   3.030    0.04    0.04
  26   3.030    0.06    0.04
  27   3.030    0.03    0.05
  28   3.030    0.03    0.06
  29   3.030    0.06    0.04
  30   3.030    0.01    0.05
  31   3.030    0.06    0.04
  32   3.030    0.07    0.04
  33   3.030    0.08    0.03
  34   3.030    0.03    0.05
  35   3.030    0.03    0.03
  36   3.030    0.02    0.05
  37   3.030    0.03    0.06
  38   3.030    0.03    0.05
  39   3.020    0.10    0.04
  40   3.020    0.05    0.07
  41   3.020    0.05    0.05
  42   3.020    0.12    0.05
  43   3.020    0.02    0.08
  44   3.020    0.05    0.03
  45   3.020    0.03    0.05
  46   3.020    0.10    0.05
  47   3.020    0.09    0.05
  48   3.020    0.06    0.06
  49   3.020    0.02    0.05
  50   3.020    0.05    0.07
  51   3.020    0.04    0.05
  52   3.020    0.03    0.08
  53   3.020    0.09    0.03
  54   3.020    0.04    0.05
  55   3.020    0.04    0.04
  56   3.020    0.05    0.05
  57   3.020    0.02    0.04
  58   3.020    0.07    0.05
  59   3.020    0.06    0.06
  60   3.020    0.06    0.04
  61   3.020    0.02    0.04
  62   3.020    0.02    0.06
  63   3.020    0.05    0.07
  64   3.020    0.02    0.02
  65   3.020    0.04    0.03
  66   3.020    0.05    0.04
  67   3.020    0.03    0.05
  68   3.020    0.04    0.04
  69   3.020    0.03    0.04
  70   3.020    0.06    0.06
  71   3.010    0.04    0.05
  72   3.010    0.02    0.07
  73   3.010    0.05    0.04
  74   3.010    0.07    0.04
  75   3.010    0.03    0.04
  76   3.010    0.05    0.05
  77   3.010    0.04    0.04
  78   3.010    0.04    0.03
  79   3.010    0.05    0.06
  80   3.010    0.08    0.06
