.\TS_CASM_Inp\T3DIGPondWater_2019.dat
Init exposure day: 001
Last exposure day: 365
 Day   Solatenol Cd     As(III)
   1   0.196    0.06    0.05
   2   0.195    0.09    0.08
   3   0.195    0.06    0.09
   4   0.195    0.04    0.04
   5   0.195    0.05    0.04
   6   0.195    0.02    0.03
   7   0.195    0.03    0.05
   8   0.195    0.01    0.07
   9   0.195    0.03    0.06
  10   0.194    0.03    0.04
  11   0.194    0.03    0.08
  12   0.194    0.05    0.04
  13   0.194    0.06    0.04
  14   0.194    0.05    0.06
  15   0.194    0.07    0.05
  16   0.194    0.05    0.02
  17   0.194    0.05    0.09
  18   0.194    0.03    0.04
  19   0.193    0.01    0.04
  20   0.193    0.04    0.03
  21   0.193    0.06    0.02
  22   0.193    0.11    0.05
  23   0.193    0.08    0.05
  24   0.193    0.05    0.05
  25   0.193    0.04    0.04
  26   0.193    0.06    0.04
  27   0.193    0.03    0.05
  28   0.192    0.03    0.06
  29   0.192    0.06    0.04
  30   0.192    0.01    0.05
  31   0.192    0.06    0.04
  32   0.192    0.07    0.04
  33   0.192    0.08    0.03
  34   0.192    0.03    0.05
  35   0.192    0.03    0.03
  36   0.191    0.02    0.05
  37   0.191    0.03    0.06
  38   0.191    0.03    0.05
  39   0.191    0.10    0.04
  40   0.191    0.05    0.07
  41   0.191    0.05    0.05
  42   0.191    0.12    0.05
  43   0.191    0.02    0.08
  44   0.191    0.05    0.03
  45   0.190    0.03    0.05
  46   0.190    0.10    0.05
  47   0.190    0.09    0.05
  48   0.190    0.06    0.06
  49   0.190    0.02    0.05
  50   0.190    0.05    0.07
  51   0.190    0.04    0.05
  52   0.190    0.03    0.08
  53   0.190    0.09    0.03
  54   0.189    0.04    0.05
  55   0.189    0.04    0.04
  56   0.189    0.05    0.05
  57   0.189    0.02    0.04
  58   0.189    0.07    0.05
  59   0.189    0.06    0.06
  60   0.189    0.06    0.04
  61   0.189    0.02    0.04
  62   0.189    0.02    0.06
  63   0.188    0.05    0.07
  64   0.188    0.02    0.02
  65   0.188    0.04    0.03
  66   0.188    0.05    0.04
  67   0.188    0.03    0.05
  68   0.188    0.04    0.04
  69   0.188    0.03    0.04
  70   0.188    0.06    0.06
  71   0.188    0.04    0.05
  72   0.187    0.02    0.07
  73   0.187    0.05    0.04
  74   0.187    0.07    0.04
  75   0.187    0.03    0.04
  76   0.187    0.05    0.05
  77   0.187    0.04    0.04
  78   0.187    0.04    0.03
  79   0.187    0.05    0.06
  80   0.187    0.08    0.06
  81   0.186    0.03    0.05
